Time (s)	O2 conc. (ppm)
93.63	2.033E+05	20.33
93.97	2.033E+05	20.33
94.31	2.033E+05	20.33
94.63	2.033E+05	20.33
94.97	2.033E+05	20.33
95.31	2.033E+05	20.33
95.64	2.033E+05	20.33
95.98	2.033E+05	20.33
96.32	2.033E+05	20.33
96.65	2.033E+05	20.33
97.00	2.033E+05	20.33
97.34	2.033E+05	20.33
97.67	2.033E+05	20.33
98.01	2.033E+05	20.33
98.35	2.034E+05	20.33
98.69	2.033E+05	20.34
99.02	2.034E+05	20.33
99.36	2.034E+05	20.34
99.71	2.034E+05	20.34
100.05	2.035E+05	20.34
100.41	2.035E+05	20.35
100.78	2.035E+05	20.35
101.14	2.035E+05	20.35
101.48	2.036E+05	20.35
101.82	2.036E+05	20.36
102.16	2.036E+05	20.36
102.50	2.037E+05	20.36
102.84	2.037E+05	20.37
103.21	2.037E+05	20.37
103.55	2.038E+05	20.37
103.89	2.038E+05	20.38
104.28	2.039E+05	20.38
104.61	2.039E+05	20.39
104.96	2.040E+05	20.39
105.30	2.040E+05	20.4
105.64	2.040E+05	20.4
105.98	2.041E+05	20.4
106.32	2.041E+05	20.41
106.66	2.042E+05	20.41
107.02	2.042E+05	20.42
107.37	2.043E+05	20.42
107.71	2.044E+05	20.43
108.04	2.044E+05	20.44
108.41	2.045E+05	20.44
108.75	2.045E+05	20.45
109.09	2.046E+05	20.45
109.48	2.047E+05	20.46
109.82	2.047E+05	20.47
110.19	2.048E+05	20.47
110.56	2.048E+05	20.48
110.89	2.049E+05	20.48
111.23	2.050E+05	20.49
111.60	2.050E+05	20.5
111.94	2.051E+05	20.5
112.30	2.051E+05	20.51
112.65	2.052E+05	20.51
112.99	2.052E+05	20.52
113.33	2.053E+05	20.52
113.72	2.053E+05	20.53
114.06	2.054E+05	20.53
114.39	2.055E+05	20.54
114.76	2.055E+05	20.55
115.13	2.056E+05	20.55
115.50	2.057E+05	20.56
115.87	2.057E+05	20.57
116.23	2.057E+05	20.57
116.57	2.058E+05	20.57
116.94	2.059E+05	20.58
117.30	2.060E+05	20.59
117.64	2.060E+05	20.6
118.01	2.061E+05	20.6
118.37	2.062E+05	20.61
118.74	2.062E+05	20.62
119.11	2.062E+05	20.62
119.45	2.063E+05	20.62
119.81	2.064E+05	20.63
120.18	2.064E+05	20.64
120.52	2.064E+05	20.64
120.89	2.065E+05	20.64
121.25	2.066E+05	20.65
121.62	2.066E+05	20.66
121.96	2.066E+05	20.66
122.32	2.067E+05	20.66
122.71	2.067E+05	20.67
123.06	2.068E+05	20.67
123.42	2.068E+05	20.68
123.76	2.069E+05	20.68
124.13	2.069E+05	20.69
124.49	2.069E+05	20.69
124.86	2.069E+05	20.69
125.25	2.070E+05	20.69
125.62	2.070E+05	20.7
125.99	2.070E+05	20.7
126.38	2.071E+05	20.7
126.75	2.072E+05	20.71
127.14	2.072E+05	20.72
127.50	2.072E+05	20.72
127.87	2.072E+05	20.72
128.24	2.073E+05	20.72
128.60	2.073E+05	20.73
128.97	2.073E+05	20.73
129.34	2.074E+05	20.73
129.70	2.074E+05	20.74
130.07	2.074E+05	20.74
130.43	2.074E+05	20.74
130.83	2.074E+05	20.74
131.20	2.074E+05	20.74
131.56	2.074E+05	20.74
131.93	2.075E+05	20.74
132.30	2.075E+05	20.75
132.66	2.075E+05	20.75
133.02	2.075E+05	20.75
133.40	2.075E+05	20.75
133.76	2.075E+05	20.75
134.13	2.075E+05	20.75
134.49	2.075E+05	20.75
134.86	2.075E+05	20.75
135.22	2.075E+05	20.75
135.58	2.075E+05	20.75
135.96	2.075E+05	20.75
136.32	2.075E+05	20.75
136.69	2.075E+05	20.75
137.05	2.075E+05	20.75
137.41	2.075E+05	20.75
137.78	2.075E+05	20.75
138.14	2.075E+05	20.75
138.51	2.075E+05	20.75
138.88	2.075E+05	20.75
139.24	2.075E+05	20.75
139.61	2.075E+05	20.75
139.97	2.075E+05	20.75
140.34	2.075E+05	20.75
140.70	2.074E+05	20.75
141.07	2.074E+05	20.74
141.46	2.074E+05	20.74
141.86	2.074E+05	20.74
142.22	2.074E+05	20.74
142.58	2.073E+05	20.74
142.97	2.073E+05	20.73
143.34	2.073E+05	20.73
143.70	2.073E+05	20.73
144.07	2.073E+05	20.73
144.44	2.073E+05	20.73
144.80	2.072E+05	20.73
145.19	2.072E+05	20.72
145.59	2.072E+05	20.72
145.98	2.072E+05	20.72
146.34	2.072E+05	20.72
146.71	2.071E+05	20.72
147.08	2.071E+05	20.71
147.47	2.071E+05	20.71
147.86	2.070E+05	20.71
148.23	2.070E+05	20.7
148.62	2.070E+05	20.7
148.98	2.070E+05	20.7
149.35	2.070E+05	20.7
149.72	2.069E+05	20.7
150.14	2.069E+05	20.69
150.50	2.068E+05	20.69
150.87	2.069E+05	20.68
151.26	2.068E+05	20.69
151.62	2.068E+05	20.68
151.99	2.067E+05	20.68
152.36	2.067E+05	20.67
152.78	2.067E+05	20.67
153.14	2.067E+05	20.67
153.53	2.066E+05	20.67
153.93	2.066E+05	20.66
154.29	2.066E+05	20.66
154.69	2.065E+05	20.66
155.06	2.065E+05	20.65
155.43	2.065E+05	20.65
155.84	2.065E+05	20.65
156.21	2.065E+05	20.65
156.57	2.065E+05	20.65
156.94	2.064E+05	20.65
157.31	2.064E+05	20.64
157.70	2.064E+05	20.64
158.09	2.064E+05	20.64
158.48	2.063E+05	20.64
158.85	2.063E+05	20.63
159.24	2.063E+05	20.63
159.61	2.063E+05	20.63
159.98	2.062E+05	20.63
160.37	2.062E+05	20.62
160.76	2.062E+05	20.62
161.15	2.062E+05	20.62
161.54	2.062E+05	20.62
161.94	2.061E+05	20.62
162.31	2.061E+05	20.61
162.70	2.061E+05	20.61
163.07	2.061E+05	20.61
163.45	2.060E+05	20.61
163.82	2.060E+05	20.6
164.19	2.060E+05	20.6
164.58	2.060E+05	20.6
164.98	2.060E+05	20.6
165.34	2.060E+05	20.6
165.71	2.060E+05	20.6
166.07	2.059E+05	20.6
166.44	2.059E+05	20.59
166.80	2.059E+05	20.59
167.19	2.058E+05	20.59
167.57	2.059E+05	20.58
167.93	2.058E+05	20.59
168.29	2.058E+05	20.58
168.68	2.058E+05	20.58
169.10	2.058E+05	20.58
169.49	2.058E+05	20.58
169.87	2.058E+05	20.58
170.23	2.057E+05	20.58
170.62	2.058E+05	20.57
170.99	2.058E+05	20.58
171.35	2.057E+05	20.58
171.75	2.057E+05	20.57
172.14	2.057E+05	20.57
172.51	2.057E+05	20.57
172.90	2.057E+05	20.57
173.29	2.057E+05	20.57
173.66	2.057E+05	20.57
174.02	2.057E+05	20.57
174.39	2.057E+05	20.57
174.75	2.057E+05	20.57
175.12	2.057E+05	20.57
175.51	2.057E+05	20.57
175.91	2.057E+05	20.57
176.30	2.057E+05	20.57
176.69	2.057E+05	20.57
177.08	2.057E+05	20.57
177.47	2.057E+05	20.57
177.84	2.057E+05	20.57
178.26	2.057E+05	20.57
178.65	2.057E+05	20.57
179.04	2.057E+05	20.57
179.43	2.057E+05	20.57
179.82	2.057E+05	20.57
180.25	2.057E+05	20.57
180.67	2.057E+05	20.57
181.06	2.057E+05	20.57
181.45	2.057E+05	20.57
181.84	2.057E+05	20.57
182.21	2.057E+05	20.57
182.60	2.058E+05	20.57
183.00	2.057E+05	20.58
183.39	2.058E+05	20.57
183.79	2.058E+05	20.58
184.18	2.058E+05	20.58
184.57	2.058E+05	20.58
184.96	2.058E+05	20.58
185.36	2.058E+05	20.58
185.75	2.058E+05	20.58
186.14	2.058E+05	20.58
186.56	2.058E+05	20.58
186.95	2.059E+05	20.58
187.34	2.059E+05	20.59
187.73	2.059E+05	20.59
188.13	2.059E+05	20.59
188.52	2.059E+05	20.59
188.91	2.060E+05	20.59
189.30	2.059E+05	20.6
189.72	2.060E+05	20.59
190.14	2.060E+05	20.6
190.54	2.060E+05	20.6
190.93	2.060E+05	20.6
191.32	2.060E+05	20.6
191.71	2.060E+05	20.6
192.11	2.060E+05	20.6
192.50	2.060E+05	20.6
192.90	2.061E+05	20.6
193.29	2.061E+05	20.61
