Time (s)	O2 conc. (ppm)
153.94	2.095E+05
154.71	2.096E+05
155.46	2.096E+05
155.83	2.096E+05
156.22	2.096E+05
156.58	2.096E+05
156.95	2.096E+05
157.32	2.096E+05
157.71	2.096E+05
158.08	2.096E+05
158.44	2.097E+05
158.84	2.097E+05
159.23	2.097E+05
159.62	2.097E+05
159.99	2.097E+05
160.35	2.097E+05
160.72	2.097E+05
161.09	2.097E+05
161.48	2.097E+05
161.84	2.097E+05
162.21	2.098E+05
162.60	2.097E+05
162.98	2.097E+05
163.37	2.098E+05
163.76	2.097E+05
164.13	2.098E+05
164.52	2.098E+05
164.91	2.098E+05
165.30	2.098E+05
165.70	2.098E+05
166.07	2.099E+05
166.44	2.099E+05
166.80	2.099E+05
167.22	2.099E+05
167.61	2.099E+05
168.01	2.099E+05
168.40	2.099E+05
168.79	2.099E+05
169.19	2.099E+05
169.58	2.099E+05
169.97	2.099E+05
170.36	2.100E+05
170.74	2.100E+05
171.13	2.099E+05
171.52	2.099E+05
171.88	2.099E+05
172.28	2.100E+05
172.67	2.100E+05
173.06	2.100E+05
173.46	2.100E+05
173.85	2.100E+05
174.24	2.100E+05
174.63	2.100E+05
236.97	2.103E+05
237.38	2.103E+05
237.78	2.103E+05
238.20	2.103E+05
238.59	2.103E+05
239.01	2.103E+05
239.40	2.103E+05
239.80	2.103E+05
240.22	2.103E+05
240.61	2.103E+05
241.00	2.103E+05
241.39	2.102E+05
241.78	2.103E+05
